I,o,d
27368,308,237
27369,9,3
27370,146,299
27371,406,332
27372,366,379
27373,244,34
27374,336,270
27375,347,259
27376,63,145
27377,334,146
27378,224,262
27379,153,205
27380,356,78
27381,429,440
27382,4,60
27383,75,305
27384,159,438
27385,366,21
27386,166,168
27387,257,299
27388,223,74
27389,433,190
27390,73,339
27391,333,296
27392,44,202
27393,74,445
27394,294,277
27395,142,161
27396,120,227
27397,259,143
27398,269,92
27399,321,432
27400,153,320
27401,185,350
27402,285,430
27403,390,320
27404,318,363
27405,5,43
27406,79,422
27407,16,68
27408,259,273
27409,26,265
27410,234,151
27411,403,328
27412,191,114
27413,182,220
27414,108,129
27415,411,163
27416,186,16
27417,63,192
27418,207,355
27419,137,183
27420,375,283
27421,199,297
27422,300,155
27423,12,425
27424,371,123
27425,189,309
27426,118,99
27427,194,311
27428,413,335
27429,448,216
27430,352,93
27431,199,386
27432,165,52
27433,295,316
27434,26,304
27435,187,353
27436,181,180
27437,243,296
27438,295,308
27439,279,57
27440,389,201
27441,204,445
27442,371,391
27443,88,200
27444,385,165
27445,439,50
27446,158,414
27447,217,183
27448,80,114
27449,179,285
27450,217,59
27451,425,196
27452,439,230
27453,238,139
27454,302,184
27455,29,403
27456,396,391
27457,324,106
27458,41,337
27459,167,350
27460,13,15
27461,430,70
27462,2,381
27463,430,225
27464,234,186
27465,230,73
27466,72,294
27467,405,224
27468,129,70
27469,257,423
27470,10,53
27471,351,95
27472,221,310
27473,152,71
27474,109,267
27475,133,154
27476,387,281
27477,290,289
27478,151,38
27479,35,87
27480,68,60
27481,247,395
27482,386,168
27483,431,438
27484,89,64
27485,384,411
27486,243,174
27487,300,8
27488,265,73
27489,444,46
27490,38,34
27491,133,341
27492,159,408
27493,353,133
27494,54,187
27495,193,326
27496,418,17
27497,417,286
27498,219,324
27499,41,29
27500,408,94
27501,284,44
27502,286,201
27503,162,404
27504,204,323
27505,98,406
27506,243,204
27507,361,245
27508,2,39
27509,340,187
27510,131,280
27511,402,106
27512,340,200
27513,374,326
27514,58,440
27515,45,94
27516,240,138
27517,43,424
27518,453,263
27519,336,294
27520,372,16
27521,139,380
27522,191,360
27523,135,321
27524,326,182
27525,219,352
27526,231,66
27527,22,38
27528,407,300
27529,227,378
27530,295,320
27531,352,398
27532,273,261
27533,12,144
27534,169,417
27535,160,43
27536,284,341
27537,188,71
27538,283,453
27539,426,234
27540,123,229
27541,426,372
27542,51,178
27543,182,90
27544,435,132
27545,434,451
27546,346,210
27547,163,397
27548,450,165
27549,303,448
27550,248,115
27551,411,424
27552,434,79
27553,371,212
27554,250,410
27555,267,280
27556,338,87
27557,426,378
27558,26,14
27559,352,261
27560,336,116
27561,99,411
27562,189,417
27563,172,212
27564,300,109
27565,163,146
27566,105,367
27567,336,333
27568,56,364
27569,64,71
27570,425,438
27571,425,361
27572,210,244
27573,24,117
27574,104,36
27575,386,159
27576,371,100
27577,445,42
27578,123,431
27579,53,120
27580,35,74
27581,43,182
27582,432,414
27583,238,68
27584,33,335
27585,255,105
27586,104,113
27587,336,272
27588,450,386
27589,94,242
27590,251,94
27591,155,54
27592,129,118
27593,46,175
27594,331,41
27595,265,227
27596,165,95
27597,261,189
27598,230,444
27599,369,131
27600,143,249
27601,8,453
27602,210,185
27603,334,287
27604,330,358
27605,276,154
27606,80,104
27607,331,245
27608,257,424
27609,421,101
27610,357,370
27611,7,187
27612,155,98
27613,410,335
27614,192,158
27615,71,220
27616,240,225
27617,258,359
27618,375,201
27619,336,436
27620,282,274
27621,447,374
27622,134,301
27623,187,230
27624,162,423
27625,185,77
27626,300,445
27627,124,451
27628,349,189
27629,84,90
27630,259,404
27631,180,312
27632,156,423
27633,105,147
27634,89,405
27635,379,154
27636,150,19
27637,347,103
27638,269,65
27639,279,396
27640,236,433
27641,66,28
27642,33,239
27643,48,176
27644,400,378
27645,238,316
27646,437,227
27647,134,30
27648,441,358
27649,435,199
27650,408,50
27651,251,118
27652,15,157
27653,270,175
27654,266,316
27655,204,373
27656,55,111
27657,374,169
27658,347,399
27659,419,193
27660,381,16
27661,61,48
27662,272,235
27663,161,419
27664,291,423
27665,46,144
27666,127,66
27667,133,227
27668,290,208
27669,327,81
27670,314,261
27671,281,318
27672,33,199
27673,107,88
27674,351,448
27675,215,245
27676,154,127
27677,12,444
27678,160,10
27679,414,210
27680,265,393
27681,377,98
27682,44,233
27683,252,156
27684,16,312
27685,234,267
27686,420,261
27687,150,311
27688,130,226
27689,174,92
27690,79,116
27691,62,417
27692,312,108
27693,380,21
27694,288,405
27695,49,397
27696,20,68
27697,301,42
27698,172,237
27699,96,288
27700,435,260
27701,130,173
27702,434,365
27703,131,129
27704,430,399
27705,153,372
27706,231,132
27707,71,423
27708,221,150
27709,206,61
27710,376,192
27711,106,141
27712,193,201
27713,402,442
27714,209,435
27715,169,70
27716,76,15
27717,402,451
27718,56,257
27719,78,398
27720,295,306
27721,359,339
27722,406,188
27723,42,321
27724,129,147
27725,361,161
27726,356,350
27727,147,29
27728,81,225
27729,102,14
27730,81,280
27731,171,13
27732,35,246
27733,409,310
27734,440,122
27735,2,303
27736,44,434
27737,289,318
27738,177,186
27739,244,390
27740,182,287
27741,136,170
27742,323,277
27743,310,354
27744,434,311
27745,101,87
27746,437,386
27747,186,365
27748,422,216
27749,186,271
27750,442,320
27751,259,148
27752,130,195
27753,167,353
27754,141,385
27755,290,297
27756,252,190
27757,431,233
27758,399,20
27759,157,374
27760,412,386
27761,355,194
27762,173,166
27763,197,33
27764,148,407
27765,100,427
27766,68,194
27767,72,421
27768,106,8
27769,299,104
27770,241,103
27771,441,26
27772,327,302
27773,423,437
27774,313,31
27775,263,310
27776,401,265
27777,103,316
27778,71,37
27779,245,165
27780,72,12
27781,263,49
27782,395,418
27783,112,393
27784,255,281
27785,312,302
27786,210,123
27787,112,37
27788,92,136
27789,345,168
27790,365,318
27791,126,186
27792,209,363
27793,95,112
27794,333,389
27795,421,184
27796,399,73
27797,122,86
27798,235,289
27799,347,364
27800,94,218
27801,168,367
27802,195,347
27803,32,352
27804,241,379
27805,55,424
27806,351,225
27807,413,65
27808,116,317
27809,392,237
27810,128,441
27811,303,397
27812,106,58
27813,20,345
27814,180,167
27815,434,121
27816,386,111
27817,298,449
27818,256,395
27819,55,259
27820,181,132
27821,347,171
27822,439,310
27823,6,341
27824,148,81
27825,441,220
27826,127,392
27827,89,142
27828,156,147
27829,372,96
27830,416,56
27831,241,400
27832,343,132
27833,398,72
27834,144,187
27835,257,114
27836,54,291
27837,381,84
27838,281,344
27839,441,232
27840,85,426
27841,42,316
27842,48,414
27843,140,143
27844,252,46
27845,433,432
27846,41,315
27847,288,444
27848,319,173
27849,329,421
27850,289,326
27851,141,199
27852,230,268
27853,268,70
27854,218,5
27855,389,305
27856,40,92
27857,240,111
27858,20,360
27859,122,4
27860,338,402
27861,112,374
27862,194,400
27863,444,342
27864,112,405
27865,330,50
27866,339,299
27867,2,204
27868,231,403
27869,366,422
27870,206,323
27871,58,4
27872,89,387
27873,113,245
27874,317,376
27875,324,25
27876,437,443
27877,133,170
27878,179,178
27879,123,60
27880,78,239
27881,52,210
27882,137,98
27883,425,121
27884,420,175
27885,77,288
27886,228,382
27887,61,128
27888,222,52
27889,224,155
27890,89,421
27891,431,407
27892,70,401
27893,88,150
27894,131,96
27895,37,417
27896,92,255
27897,239,397
27898,356,16
27899,142,134
27900,112,156
27901,188,117
27902,272,141
27903,226,363
27904,308,434
27905,193,200
27906,396,201
27907,25,300
27908,372,296
27909,23,1
27910,275,97
27911,272,36
27912,37,211
27913,372,449
27914,104,412
27915,325,194
27916,322,292
27917,207,41
27918,43,216
27919,193,65
27920,207,367
27921,27,157
27922,144,81
27923,28,302
27924,265,241
27925,365,447
27926,147,447
27927,364,50
27928,287,107
27929,344,210
27930,384,454
27931,311,248
27932,255,193
27933,216,94
27934,385,302
27935,409,356
27936,329,253
27937,53,399
27938,252,35
27939,184,269
27940,9,303
27941,319,231
27942,365,20
27943,51,402
27944,378,424
27945,187,389
27946,16,316
27947,364,213
27948,295,247
27949,107,87
27950,359,310
27951,278,427
27952,198,372
27953,337,136
27954,133,183
27955,94,201
27956,255,141
27957,88,48
27958,256,246
27959,229,121
27960,196,245
27961,244,83
27962,168,161
27963,428,337
27964,437,80
27965,330,377
27966,31,304
27967,338,450
27968,282,197
27969,453,42
27970,336,238
27971,340,445
27972,430,338
27973,57,284
27974,274,234
27975,23,255
27976,433,212
27977,193,306
27978,134,154
27979,140,354
27980,216,175
27981,292,169
27982,401,281
27983,364,196
27984,61,93
27985,91,217
27986,363,231
27987,215,242
27988,354,47
27989,217,305
27990,47,14
27991,14,154
27992,133,363
27993,324,319
27994,243,138
27995,39,82
27996,252,100
27997,140,56
27998,415,104
27999,106,441
28000,67,30
28001,399,60
28002,11,250
28003,135,346
28004,419,268
28005,193,280
28006,264,141
28007,112,102
28008,327,45
28009,439,100
28010,212,96
28011,414,195
28012,25,75
28013,371,325
28014,145,387
28015,351,357
28016,387,203
28017,407,394
28018,258,186
28019,169,82
28020,58,101
28021,237,279
28022,236,331
28023,65,345
28024,12,18
28025,236,211
28026,373,245
28027,234,379
28028,454,297
28029,162,72
28030,332,197
28031,219,156
28032,441,72
28033,244,370
28034,65,341
28035,434,339
28036,129,312
28037,344,175
28038,183,37
28039,387,335
28040,204,211
28041,435,348
28042,409,364
28043,45,75
28044,275,434
28045,191,313
28046,410,373
28047,331,445
28048,154,257
28049,454,332
28050,107,172
28051,330,93
28052,399,233
28053,222,434
28054,87,4
28055,44,123
28056,286,274
28057,207,165
28058,11,325
28059,76,280
28060,306,70
28061,375,326
28062,340,368
28063,50,236
28064,247,57
28065,366,23
28066,350,416
28067,180,71
28068,207,288
28069,276,28
28070,176,206
28071,143,248
28072,73,210
28073,277,32
28074,348,10
28075,67,435
28076,234,419
28077,254,141
28078,443,348
28079,132,106
28080,390,368
28081,426,31
28082,72,236
28083,10,208
28084,168,267
28085,112,342
28086,327,430
28087,258,366
28088,175,185
28089,67,315
28090,213,29
28091,433,166
28092,359,13
28093,211,239
28094,122,175
28095,218,293
28096,355,122
28097,362,157
28098,75,302
28099,334,119
28100,396,400
28101,136,200
28102,113,33
28103,242,53
28104,41,452
28105,258,131
28106,384,262
28107,169,170
28108,233,19
28109,438,49
28110,144,262
28111,260,309
28112,367,409
28113,33,287
28114,127,277
28115,395,362
28116,303,94
28117,436,167
28118,433,379
28119,385,156
28120,373,202
28121,218,398
28122,89,178
28123,217,358
28124,374,161
28125,19,265
28126,322,92
28127,1,218
28128,10,113
28129,310,7
28130,284,61
28131,385,171
28132,438,402
28133,8,101
28134,150,22
28135,290,354
28136,278,222
28137,12,198
28138,425,367
28139,244,299
28140,253,166
28141,409,50
28142,147,33
28143,37,416
28144,262,341
28145,153,405
28146,209,18
28147,442,400
28148,155,82
28149,358,439
28150,407,129
28151,205,209
28152,285,24
28153,385,110
28154,275,409
28155,133,156
28156,224,344
28157,75,48
28158,215,175
28159,306,432
28160,256,332
28161,51,30
28162,314,58
28163,36,453
28164,448,145
28165,342,301
28166,25,74
28167,152,178
28168,346,38
28169,176,451
28170,119,421
28171,109,354
28172,362,211
28173,11,361
28174,332,199
28175,281,207
28176,226,359
28177,298,439
28178,358,92
28179,278,445
28180,363,352
28181,362,366
28182,58,27
28183,317,329
28184,373,36
28185,384,62
28186,278,378
28187,261,91
28188,22,177
28189,279,21
28190,295,253
28191,382,370
28192,60,184
28193,394,269
28194,212,290
28195,106,402
28196,261,198
28197,274,220
28198,368,132
28199,84,111
28200,4,410
28201,65,314
28202,149,107
28203,145,234
28204,221,226
28205,130,163
28206,102,245
28207,180,446
28208,107,33
28209,271,178
28210,300,123
28211,447,344
28212,372,291
28213,435,186
28214,158,212
28215,214,15
28216,379,97
28217,140,25
28218,334,203
28219,331,345
28220,152,243
28221,115,286
28222,329,412
28223,246,402
28224,13,102
28225,413,391
28226,77,76
28227,187,120
28228,358,390
28229,405,324
28230,293,445
28231,152,36
28232,358,224
28233,10,326
28234,396,150
28235,257,16
28236,75,434
28237,42,381
28238,109,192
28239,430,49
28240,302,406
28241,270,63
28242,306,174
28243,58,134
28244,127,60
28245,70,249
28246,202,443
28247,136,78
28248,43,431
28249,191,403
28250,256,435
28251,106,276
28252,355,443
28253,263,330
28254,347,427
28255,250,45
28256,303,10
28257,129,359
28258,92,453
28259,295,187
28260,448,62
28261,386,180
28262,102,179
28263,173,50
28264,400,313
28265,64,226
28266,145,328
28267,249,252
28268,110,223
28269,438,154
28270,344,430
28271,5,121
28272,351,386
28273,19,298
28274,219,428
28275,147,403
28276,329,105
28277,238,401
28278,350,382
28279,186,435
28280,194,401
28281,70,257
28282,174,76
28283,87,112
28284,407,222
28285,158,227
28286,423,24
28287,81,154
28288,240,428
28289,305,39
28290,184,418
28291,305,101
28292,202,382
28293,77,260
28294,65,45
28295,19,334
28296,49,442
28297,182,386
28298,57,249
28299,87,143
28300,365,312
28301,4,376
28302,42,273
28303,350,134
28304,445,441
28305,360,213
28306,31,137
28307,361,89
28308,261,271
28309,381,332
28310,168,411
28311,63,266
28312,298,40
28313,89,3
28314,89,372
28315,309,426
28316,224,217
28317,266,58
28318,124,169
28319,5,20
28320,138,187
28321,378,104
28322,418,217
28323,411,320
28324,426,54
28325,284,269
28326,131,146
28327,239,108
28328,125,162
28329,447,48
28330,276,66
28331,298,421
28332,153,276
28333,244,97
28334,219,278
28335,305,343
28336,417,110
28337,277,241
28338,264,440
28339,83,211
28340,226,261
28341,291,179
28342,312,409
28343,142,332
28344,88,201
28345,451,321
28346,424,8
28347,320,124
28348,143,286
28349,50,423
28350,335,321
28351,151,434
28352,81,208
28353,400,337
28354,254,17
28355,446,343
28356,372,304
28357,193,392
28358,23,208
28359,348,315
28360,310,338
28361,168,270
28362,346,101
28363,130,409
28364,288,331
28365,251,244
28366,168,36
28367,325,229
28368,291,385
28369,17,61
28370,95,451
28371,227,90
28372,431,199
28373,209,329
28374,329,73
28375,86,165
28376,193,25
28377,288,218
28378,301,313
28379,290,29
28380,338,95
28381,198,261
28382,73,88
28383,205,248
28384,291,229
28385,289,67
28386,369,400
28387,229,244
28388,162,121
28389,372,277
28390,99,118
28391,72,79
28392,354,214
28393,229,281
28394,454,102
28395,228,271
28396,21,258
28397,50,301
28398,326,450
28399,209,3
28400,385,263
28401,427,174
28402,125,318
28403,54,266
28404,357,103
28405,308,260
28406,5,31
28407,6,337
28408,403,410
28409,302,88
28410,425,243
28411,211,170
28412,204,142
28413,93,121
28414,174,423
28415,342,96
28416,82,154
28417,249,178
28418,106,249
28419,258,247
28420,158,73
28421,202,298
28422,321,228
28423,323,305
28424,35,141
28425,149,122
28426,312,109
28427,396,32
28428,242,257
28429,210,32
28430,109,348
28431,306,291
28432,112,14
28433,278,122
28434,162,203
28435,118,105
28436,253,104
28437,51,224
28438,0,169
28439,287,197
28440,65,109
28441,358,302
28442,193,116
28443,419,437
28444,31,405
28445,284,408
28446,87,191
28447,49,271
28448,74,130
28449,40,80
28450,304,2
28451,147,35
28452,144,12
28453,436,117
28454,59,333
28455,38,169
28456,142,214
28457,152,385
28458,308,439
28459,306,121
28460,320,19
28461,74,138
28462,95,43
28463,381,174
28464,269,214
28465,176,140
28466,81,356
28467,415,68
28468,98,91
28469,250,111
28470,350,56
28471,53,111
28472,103,324
28473,84,217
28474,178,268
28475,308,138
28476,118,129
28477,195,155
28478,325,180
28479,48,63
28480,237,6
28481,291,269
28482,339,30
28483,29,13
28484,341,310
28485,357,116
28486,416,389
28487,225,9
28488,358,129
28489,215,318
28490,99,238
28491,53,345
28492,303,423
28493,60,385
28494,360,236
28495,330,270
28496,299,106
28497,393,345
28498,124,210
28499,215,263
28500,170,326
28501,362,121
28502,121,136
28503,406,149
28504,249,395
28505,346,286
28506,284,151
28507,6,306
28508,310,181
28509,428,318
28510,265,360
28511,364,378
28512,366,81
28513,217,1
28514,118,316
28515,361,220
28516,55,378
28517,313,282
28518,230,365
28519,292,91
28520,175,165
28521,159,63
28522,432,306
28523,286,29
28524,250,446
28525,49,321
28526,172,54
28527,92,364
28528,198,248
28529,405,370
28530,447,432
28531,353,389
28532,40,314
28533,128,423
28534,48,197
28535,214,142
28536,449,194
28537,389,446
28538,360,95
28539,392,74
28540,99,319
28541,91,150
28542,11,279
28543,446,54
28544,262,35
28545,182,223
28546,408,451
28547,429,409
28548,432,56
28549,217,81
28550,91,362
28551,107,453
28552,452,69
28553,357,334
28554,334,392
28555,276,361
28556,398,246
28557,193,343
28558,351,219
28559,345,253
28560,108,64
28561,5,8
28562,178,207
28563,451,158
28564,317,95
28565,217,351
28566,201,437
28567,299,17
28568,186,111
28569,373,96
28570,113,310
28571,311,401
28572,317,416
28573,454,37
28574,410,39
28575,372,266
28576,125,83
28577,154,427
28578,410,90
28579,453,357
28580,367,394
28581,93,229
28582,29,147
28583,107,396
28584,65,338
28585,408,206
28586,5,158
28587,95,104
28588,161,225
28589,116,247
28590,49,181
28591,300,183
28592,56,234
28593,337,1
28594,45,227
28595,237,308
28596,60,166
28597,180,53
28598,451,309
28599,65,190
28600,139,40
28601,269,144
28602,311,297
28603,126,239
28604,10,366
28605,154,55
28606,238,101
28607,146,3
28608,364,246
28609,245,98
28610,347,82
28611,323,227
28612,121,208
28613,215,98
28614,249,206
28615,451,152
28616,134,257
28617,274,46
28618,369,286
28619,168,130
28620,272,248
28621,440,360
28622,453,262
28623,260,252
28624,106,9
28625,269,193
28626,255,416
28627,322,243
28628,184,453
28629,435,326
28630,38,25
28631,75,417
28632,400,394
28633,128,19
28634,318,307
28635,275,70
28636,52,386
28637,413,176
28638,158,442
28639,30,414
28640,23,357
28641,409,411
28642,151,316
28643,59,136
28644,12,86
28645,121,322
28646,338,18
28647,206,99
28648,15,188
28649,417,223
28650,213,223
28651,430,141
28652,447,64
28653,5,14
28654,344,96
28655,432,104
28656,336,63
28657,377,304
28658,440,109
28659,288,70
28660,25,292
28661,178,376
28662,437,310
28663,221,220
28664,362,438
28665,250,101
28666,51,436
28667,79,348
28668,205,33
28669,156,88
28670,286,385
28671,371,176
28672,124,52
28673,114,287
28674,193,391
28675,441,162
28676,424,375
28677,309,128
28678,219,310
28679,303,275
28680,274,398
28681,452,435
28682,370,339
28683,194,114
28684,99,337
28685,343,9
28686,148,246
28687,92,452
28688,180,208
28689,393,177
28690,336,377
28691,194,408
28692,68,353
28693,374,20
28694,72,268
28695,89,209
28696,422,252
28697,303,161
28698,88,268
28699,112,367
28700,180,44
28701,14,95
28702,237,379
28703,390,118
28704,120,128
28705,10,430
28706,386,54
28707,53,230
28708,382,3
28709,156,141
28710,376,214
28711,414,85
28712,81,290
28713,452,279
28714,404,187
28715,48,97
28716,247,233
28717,187,183
28718,13,292
28719,300,312
28720,430,18
28721,220,356
28722,244,168
28723,121,182
28724,268,284
28725,137,347
28726,253,362
28727,109,309
28728,66,281
28729,92,336
28730,340,23
28731,124,27
28732,45,70
28733,30,51
28734,234,112
28735,305,169
28736,255,136
28737,207,369
28738,57,180
28739,86,110
28740,28,154
28741,353,209
28742,26,290
28743,78,37
28744,377,276
28745,96,28
28746,428,47
28747,202,266
28748,284,216
28749,360,66
28750,85,87
28751,15,286
28752,43,125
28753,242,452
28754,274,31
28755,349,292
28756,401,47
28757,274,409
28758,259,4
28759,237,341
28760,303,18
28761,411,66
28762,285,20
28763,24,367
28764,429,104
28765,447,381
28766,329,284
28767,84,55
28768,372,321
28769,158,371
28770,296,64
28771,317,126
28772,123,185
28773,376,133
28774,309,100
28775,250,24
28776,207,167
28777,179,436
28778,277,64
28779,318,69
28780,418,364
28781,56,391
28782,454,153
28783,143,49
28784,419,1
28785,279,437
28786,318,67
28787,357,396
28788,260,410
28789,125,4
28790,178,100
28791,273,13
28792,15,120
28793,443,416
28794,214,32
28795,127,157
28796,23,7
28797,229,394
28798,113,38
28799,275,324
28800,13,426
28801,200,4
28802,357,393
28803,193,22
28804,321,151
28805,252,398
28806,263,426
28807,427,112
28808,105,366
28809,59,159
28810,64,1
28811,265,189
28812,79,147
28813,50,381
28814,282,8
28815,207,15
28816,178,269
28817,214,317
28818,406,38
28819,6,285
28820,444,412
28821,268,244
28822,224,351
28823,355,176
28824,110,13
28825,435,300
28826,334,337
28827,196,404
28828,204,130
28829,360,251
28830,234,169
28831,164,308
28832,118,363
28833,314,262
28834,306,155
28835,6,270
28836,342,379
28837,148,349
28838,454,35
28839,138,263
28840,339,259
28841,367,421
28842,15,6
28843,411,256
28844,320,394
28845,25,116
28846,287,353
28847,44,79
28848,109,23
28849,423,137
28850,359,19
28851,50,306
28852,340,282
28853,200,283
28854,147,160
28855,375,252
28856,12,415
28857,443,64
28858,338,426
28859,411,328
28860,336,4
28861,57,268
28862,250,170
28863,384,132
28864,84,86
28865,321,310
28866,371,353
28867,372,51
28868,194,282
28869,165,113
28870,241,311
28871,59,150
28872,274,57
28873,120,129
28874,18,118
28875,223,341
28876,69,315
28877,395,254
28878,136,403
28879,339,125
28880,283,203
28881,182,259
28882,112,74
28883,134,83
28884,336,51
28885,427,188
28886,233,327
28887,108,263
28888,377,449
28889,110,104
28890,52,107
28891,221,341
28892,269,49
28893,36,14
28894,43,3
28895,28,185
28896,84,21
28897,59,445
28898,51,63
28899,422,28
28900,200,102
28901,77,245
28902,57,94
28903,83,251
28904,80,338
28905,418,307
28906,307,76
28907,338,39
28908,428,242
28909,34,161
28910,135,115
28911,67,80
28912,282,263
28913,295,107
28914,297,315
28915,411,370
28916,333,189
28917,161,120
28918,190,57
28919,236,338
28920,261,408
28921,217,148
28922,205,249
28923,237,162
28924,381,448
28925,76,346
28926,31,219
28927,103,334
28928,194,200
28929,192,89
28930,100,332
28931,247,386
28932,313,135
28933,80,371
28934,56,199
28935,365,145
28936,285,69
28937,451,12
28938,306,273
28939,15,309
28940,252,432
28941,339,330
28942,18,108
28943,236,415
28944,431,405
28945,443,184
28946,226,203
28947,428,28
28948,286,202
28949,322,134
28950,135,369
28951,353,83
28952,220,93
28953,347,230
28954,302,379
28955,83,220
28956,378,99
28957,51,361
28958,177,218
28959,387,79
28960,181,62
28961,269,322
28962,333,150
28963,404,384
28964,14,377
28965,218,40
28966,85,313
28967,298,6
28968,56,178
28969,271,391
28970,135,418
28971,416,333
28972,145,287
28973,125,96
28974,328,211
28975,214,432
28976,47,65
28977,363,261
28978,124,289
28979,366,398
28980,234,50
28981,349,209
28982,5,365
28983,175,402
28984,225,135
28985,397,28
28986,365,426
28987,317,370
28988,200,89
28989,141,146
28990,259,74
28991,243,72
28992,24,375
28993,60,427
28994,262,302
28995,421,24
28996,157,342
28997,156,453
28998,241,128
28999,220,302
29000,81,239
29001,286,304
29002,425,326
29003,87,431
29004,289,365
29005,301,213
29006,255,147
29007,368,202
29008,349,148
29009,186,40
29010,66,9
29011,378,304
29012,380,295
29013,169,438
29014,29,182
29015,292,98
29016,161,306
29017,152,60
29018,375,305
29019,146,264
29020,347,198
29021,123,444
29022,426,346
29023,233,239
29024,2,315
29025,291,261
29026,98,85
29027,41,56
29028,11,274
29029,280,217
29030,166,443
29031,111,168
29032,131,122
29033,253,172
29034,108,419
29035,114,26
29036,267,41
29037,212,278
29038,254,258
29039,423,63
29040,391,168
29041,188,24
29042,179,258
29043,295,215
29044,113,99
29045,62,17
29046,58,426
29047,78,6
29048,226,296
29049,414,362
29050,438,101
29051,438,18
29052,159,423
29053,286,394
29054,331,46
29055,207,13
29056,0,63
29057,322,274
29058,333,198
29059,225,328
29060,165,312
29061,67,113
29062,127,126
29063,305,358
29064,322,104
29065,93,102
29066,285,242
29067,203,320
29068,313,169
29069,302,2
29070,42,180
29071,394,337
29072,392,401
29073,212,302
29074,315,17
29075,201,51
29076,63,449
29077,256,371
29078,149,223
29079,449,199
29080,39,246
29081,301,409
29082,132,329
29083,429,72
29084,79,401
29085,315,105
29086,211,63
29087,344,387
29088,17,78
29089,287,451
29090,290,332
29091,34,387
29092,298,264
29093,68,238
29094,422,85
29095,358,291
29096,227,166
29097,211,348
29098,209,119
29099,107,377
29100,158,132
29101,316,51
29102,433,271
29103,2,99
29104,44,69
29105,150,453
29106,267,269
29107,36,416
29108,366,358
29109,287,124
29110,222,398
29111,32,311
29112,254,387
29113,317,241
29114,54,385
29115,146,296
29116,447,180
29117,78,189
29118,414,212
29119,186,284
29120,289,104
29121,428,301
29122,230,218
29123,402,437
29124,37,91
29125,404,207
29126,33,250
29127,145,433
29128,202,281
29129,9,418
29130,440,99
29131,76,424
29132,88,454
29133,99,42
29134,298,38
29135,171,317
29136,102,447
29137,163,451
29138,58,429
29139,266,47
29140,161,222
29141,438,58
29142,411,155
29143,288,187
29144,97,297
29145,141,72
29146,406,136
29147,153,223
29148,379,276
29149,194,202
29150,15,314
29151,345,129
29152,104,120
29153,204,334
29154,220,340
29155,109,101
29156,236,20
29157,148,64
29158,307,166
29159,365,452
29160,83,447
29161,186,29
29162,265,191
29163,187,285
29164,258,347
29165,227,399
29166,127,143
29167,139,184
29168,339,351
29169,57,144
29170,349,217
29171,436,47
29172,200,21
29173,360,192
29174,257,367
29175,104,175
29176,251,301
29177,317,214
29178,67,248
29179,150,294
29180,363,141
29181,332,81
29182,278,148
29183,225,74
29184,51,210
29185,3,344
29186,105,68
29187,261,431
29188,120,58
29189,272,247
29190,356,392
29191,54,286
29192,13,277
29193,207,43
29194,305,54
29195,362,33
29196,99,314
29197,446,426
29198,406,110
29199,1,183
29200,17,412
29201,158,431
29202,86,210
29203,446,156
29204,337,30
29205,216,297
29206,227,121
29207,148,448
29208,78,19
29209,52,308
29210,45,408
29211,264,255
29212,104,380
29213,90,395
29214,298,114
29215,40,390
29216,233,382
29217,183,250
29218,28,191
29219,367,168
29220,119,367
29221,230,269
29222,387,18
29223,252,41
29224,10,331
29225,1,28
29226,441,140
29227,98,426
29228,423,104
29229,429,61
29230,212,289
29231,201,60
29232,372,340
29233,52,45
29234,400,327
29235,367,49
29236,255,133
29237,124,47
29238,176,49
29239,231,330
29240,362,286
29241,160,133
29242,393,424
29243,389,16
29244,325,54
29245,448,403
29246,265,157
29247,24,431
29248,103,374
29249,346,155
29250,327,79
29251,81,31
29252,430,33
29253,143,104
29254,165,7
29255,153,346
29256,274,200
29257,130,442
29258,331,90
29259,159,3
29260,172,73
29261,10,332
29262,121,401
29263,122,340
29264,13,423
29265,55,89
29266,56,373
29267,306,144
29268,153,112
29269,329,9
29270,313,334
29271,66,355
29272,443,35
29273,440,55
29274,122,183
29275,42,384
29276,24,261
29277,327,300
29278,347,360
29279,428,7
29280,318,322
29281,217,128
29282,422,235
29283,314,26
29284,400,42
29285,319,445
29286,200,222
29287,77,81
29288,82,308
29289,149,318
29290,148,367
29291,409,72
29292,451,292
29293,31,27
29294,9,437
29295,241,220
29296,416,415
29297,340,227
29298,331,165
29299,206,134
29300,394,367
29301,292,434
29302,118,384
29303,185,387
29304,343,211
29305,119,64
29306,8,37
29307,312,384
29308,390,140
29309,72,215
29310,12,376
29311,378,293
29312,389,262
29313,306,228
29314,70,416
29315,365,220
29316,175,344
29317,28,34
29318,313,358
29319,48,136
29320,203,199
29321,415,207
29322,91,446
29323,7,259
29324,422,380
29325,14,109
29326,112,173
29327,422,96
29328,136,3
29329,189,378
29330,252,30
29331,127,440
29332,309,406
29333,233,30
29334,65,305
29335,292,348
29336,197,192
29337,228,169
29338,325,262
29339,391,408
29340,332,161
29341,298,367
29342,390,449
29343,255,328
29344,303,181
29345,217,162
29346,187,151
29347,66,73
29348,219,377
29349,280,5
29350,141,245
29351,175,279
29352,398,382
29353,23,93
29354,81,202
29355,368,420
29356,44,285
29357,377,9
29358,49,40
29359,135,136
29360,43,391
29361,147,158
29362,391,436
29363,33,245
29364,291,300
29365,150,10
29366,155,46
